,contest,winner,loser,time
96,6391484632096674,73,74,2020-09-05 09:14:48.523000
97,966416934192641,51,53,2020-09-05 09:14:48.523000
98,1637839606601767,47,45,2020-09-05 10:34:05.926000
99,5666682664401800,52,53,2020-09-05 10:34:05.926000
100,2614768131419630,57,53,2020-09-05 10:34:05.926000
101,6724132607536602,57,53,2020-09-05 11:25:14.798000
102,313258166870317,57,49,2020-09-05 12:14:22.947000
103,6020436129086252,57,57,2020-09-05 12:14:22.947000
104,1663021220936624,69,73,2020-09-05 13:54:45.744000
105,5725420576026945,64,72,2020-09-05 13:54:45.744000
106,7068868342277962,68,69,2020-09-05 13:54:45.744000
107,8756886206238120,61,69,2020-09-05 13:54:45.744000
108,2920502056073225,57,51,2020-09-05 14:35:32.020000
109,1527759124714404,69,69,2020-09-05 14:35:32.020000
110,2981884499347018,69,61,2020-09-05 14:35:32.020000
111,6403883570715868,69,61,2020-09-05 14:35:32.020000
112,5118751175711092,63,0,2020-09-05 15:23:31.931000
113,6244607878979602,69,61,2020-09-05 16:41:31.069000
114,7128842668228828,61,61,2020-09-05 16:41:31.069000
115,8068345490618722,71,67,2020-09-05 16:41:31.069000
116,4950276978993784,71,70,2020-09-05 16:41:31.069000
117,5624186724777269,69,61,2020-09-05 16:41:31.069000
118,1281843353970428,56,51,2020-09-05 16:41:31.069000
119,7427623948201644,67,56,2020-09-05 16:41:31.069000
120,2782653933940599,49,51,2020-09-05 16:41:31.069000
121,2961891527936825,61,56,2020-09-05 16:41:31.069000
122,3502225314491399,69,70,2020-09-05 16:41:31.069000
123,737859196780584,73,45,2020-09-05 16:41:31.069000
124,82628380774684,61,56,2020-09-05 16:41:31.069000
125,868017645469466,70,69,2020-09-05 16:41:31.069000
126,4650883248779288,80,78,2020-09-05 17:55:03.681000
127,8293076611288194,56,53,2020-09-05 17:55:03.681000
128,3849850841902718,70,60,2020-09-05 17:55:03.681000
129,4212551708378346,68,61,2020-09-05 17:55:03.681000
130,4708187584702029,51,49,2020-09-05 17:55:03.681000
131,5777363069862236,70,60,2020-09-05 17:55:03.681000
132,6176774858623157,56,52,2020-09-05 17:55:03.681000
133,7189930850162681,51,49,2020-09-05 17:55:03.681000
134,7735018491944295,58,62,2020-09-05 17:55:03.681000
135,6394416681492776,51,56,2020-09-05 18:21:56.355000
136,8666068085242662,56,51,2020-09-05 18:21:56.355000
137,1597384579253033,73,66,2020-09-05 19:21:52.456000
138,7086534210632074,75,75,2020-09-05 19:21:52.456000
139,236761397004008,47,45,2020-09-05 19:21:52.456000
140,5688324133722599,52,52,2020-09-05 19:21:52.456000
141,952006073692119,67,65,2020-09-05 19:21:52.456000
142,2908667856594155,64,63,2020-09-05 20:33:32.351000
143,7922214306473373,86,61,2020-09-05 20:33:32.351000
144,8145290373737997,55,53,2020-09-05 20:33:32.351000
145,8164695098156314,75,64,2020-09-05 20:33:32.351000
146,8252368739767815,43,34,2020-09-05 20:33:32.351000
147,9006160570715955,53,62,2020-09-05 20:33:32.351000
148,3008865982301905,53,53,2020-09-05 20:33:32.351000
149,4139838283431160,59,62,2020-09-05 20:33:32.351000
150,4272416210375960,54,52,2020-09-05 20:33:32.351000
151,4859924942559963,53,62,2020-09-05 20:33:32.351000
152,5723138570289236,63,63,2020-09-05 20:33:32.351000
153,5808141098193441,55,57,2020-09-05 20:33:32.351000
154,6051008279989192,69,74,2020-09-05 20:33:32.351000
155,8013410270631071,84,83,2020-09-05 20:33:32.351000
156,8322972838900401,59,62,2020-09-05 21:32:35.512000
157,7161331792249441,56,59,2020-09-05 21:32:35.512000
158,5799844331041900,54,58,2020-09-05 21:32:35.512000
159,5854398904973529,54,52,2020-09-05 21:32:35.512000
160,6860948711464120,62,60,2020-09-05 21:32:35.512000
161,8155916496420209,69,65,2020-09-05 21:32:35.512000
162,8827863757014393,64,62,2020-09-05 21:32:35.512000
163,5964339501964199,78,75,2020-09-05 22:20:20.792000
164,7769128874423624,91,78,2020-09-05 22:20:20.792000
165,3537803573404444,58,56,2020-09-05 22:20:20.792000
166,592291008874043,64,62,2020-09-05 22:20:20.792000
